,Education Level,Age,Gender,Children,Weekly Earnings,Year,Weekly Hours Worked,Sleeping,Grooming,Housework,Food & Drink Prep,Caring for Children,Playing with Children,Job Searching,Shopping,Eating and Drinking,Socializing & Relaxing,Television,Golfing,Running,Volunteering,Employment Status
18,13,73,2,0,200,2005,30,510,90,0,100,0,0,0,0,90,20,0,0,0,0,Employed
19,13,80,2,0,0,2005,0,510,45,156,45,0,0,0,40,65,333,135,0,0,0,Not in labor force
20,19,54,1,2,0,2005,0,600,0,0,0,0,0,105,0,30,440,0,0,0,0,Unemployed
21,15,53,2,0,158,2005,9,545,65,150,0,0,0,0,0,40,100,0,0,0,0,Employed
22,14,33,2,5,462,2005,40,570,50,0,40,15,0,0,20,30,73,73,0,0,0,Employed
23,9,85,2,0,0,2005,0,262,63,0,370,0,0,0,0,10,520,20,0,0,0,Not in labor force
24,9,16,2,1,115,2005,0,360,55,0,0,0,0,0,405,75,125,110,0,0,0,Employed
25,17,63,2,0,0,2005,55,480,30,0,0,0,0,0,0,45,430,0,0,0,0,Employed
26,12,85,2,0,0,2005,0,795,90,0,15,0,0,0,0,30,475,110,0,0,0,Not in labor force
27,13,39,1,0,240,2005,20,640,45,0,25,0,0,0,60,65,90,0,0,0,35,Employed
28,13,30,1,0,782,2005,40,430,0,60,120,0,0,0,0,0,235,60,0,0,0,Employed
29,10,16,2,2,135,2005,20,555,210,0,0,0,0,0,0,15,254,135,0,0,0,Employed
30,15,39,2,3,0,2005,0,515,20,0,135,70,0,0,0,30,405,330,0,0,0,Not in labor force
31,15,31,1,0,346,2005,45,465,15,0,0,0,0,0,10,80,186,186,0,0,105,Employed
32,13,36,2,2,400,2005,40,570,80,5,15,60,0,0,35,170,203,120,0,0,0,Employed
33,12,20,2,1,153,2005,35,547,50,0,0,211,110,0,0,30,25,10,0,0,0,Employed
34,13,41,1,1,0,2005,70,690,37,0,0,0,0,0,0,90,352,322,0,35,0,Employed
35,15,85,1,0,0,2005,0,502,20,200,40,0,0,0,60,60,170,80,0,0,0,Not in labor force
36,13,39,1,2,800,2005,40,473,10,0,0,105,0,0,12,75,255,120,0,0,0,Employed
37,13,35,2,2,0,2005,0,360,35,210,190,165,120,0,5,30,310,180,0,0,0,Not in labor force
38,13,74,2,0,0,2005,0,480,60,120,85,0,0,0,40,115,285,60,0,0,0,Not in labor force
39,13,63,2,0,0,2005,30,640,105,30,60,0,0,0,25,70,449,40,0,0,0,Employed
40,13,35,1,1,344,2005,48,685,75,0,0,100,60,0,105,105,43,30,0,0,0,Employed
41,9,73,2,0,0,2005,0,505,30,160,231,0,0,0,0,120,275,20,0,0,0,Not in labor force
42,19,38,1,2,520,2005,40,600,0,15,0,40,0,0,90,105,560,440,0,0,0,Employed
43,18,46,1,1,1385,2005,38,390,30,0,120,60,0,0,0,55,0,0,0,0,0,Employed
44,16,61,2,0,0,2005,0,570,15,10,30,0,0,0,45,155,443,60,0,0,5,Not in labor force
45,15,50,2,1,420,2005,30,510,30,0,0,15,0,0,10,180,75,75,0,0,0,Employed
46,19,20,1,1,260,2005,27,523,0,0,0,0,0,0,0,89,60,60,0,0,0,Employed
47,13,49,2,0,340,2005,37,690,0,10,0,0,0,0,30,45,455,395,0,0,0,Employed
48,13,34,1,2,1231,2005,55,580,10,0,110,102,0,0,0,115,248,60,0,0,0,Employed
49,19,64,2,0,0,2005,0,560,40,0,0,0,0,0,15,65,500,230,0,0,0,Not in labor force
50,9,16,1,4,0,2005,0,500,60,20,0,0,0,0,5,45,595,270,0,0,0,Not in labor force
51,13,37,1,2,323,2005,40,630,50,0,30,0,0,0,20,90,10,0,0,0,0,Employed
52,16,40,2,2,832,2005,40,509,0,10,35,381,180,0,0,30,355,355,0,0,0,Employed
53,16,36,1,0,1923,2005,40,460,60,30,90,0,0,0,92,103,30,0,0,30,0,Employed
54,13,27,2,2,0,2005,45,411,15,3,0,3,0,0,0,0,210,210,0,0,0,Employed
55,13,22,1,1,0,2005,8,490,0,0,0,0,0,0,110,20,303,268,0,0,0,Employed
56,13,36,2,3,404,2005,40,480,81,15,7,18,0,0,0,133,121,0,0,0,0,Employed
57,15,23,2,0,450,2005,39,675,125,0,2,0,0,0,40,28,400,45,0,0,0,Employed
58,19,62,2,0,0,2005,0,500,55,0,30,0,0,0,0,20,425,0,170,0,0,Not in labor force
59,15,58,2,0,0,2005,0,515,10,232,30,0,0,0,225,60,226,151,0,0,0,Not in labor force
60,14,44,2,0,0,2005,0,510,35,15,90,0,0,420,10,60,97,15,0,0,0,Unemployed
61,15,49,1,1,0,2005,50,540,30,0,0,0,0,0,0,92,175,145,0,0,0,Employed
62,19,20,1,2,236,2005,35,600,30,0,6,0,0,0,10,75,554,314,0,0,0,Employed
63,13,62,2,0,0,2005,0,360,90,2,75,0,0,0,25,55,346,64,165,0,0,Not in labor force
64,19,36,2,2,400,2005,30,349,25,90,131,280,120,0,150,48,55,0,99,0,0,Employed
65,11,51,2,0,0,2005,0,510,0,60,30,0,0,0,0,60,780,780,0,0,0,Not in labor force
66,13,39,2,1,488,2005,40,306,30,65,60,25,0,0,60,157,130,60,0,0,0,Employed
67,14,32,2,1,770,2005,32,540,35,135,195,300,210,0,0,30,160,60,0,0,0,Employed
68,15,36,1,2,1038,2005,60,479,44,5,0,0,0,0,5,80,10,0,0,0,0,Employed
69,13,58,2,0,0,2005,0,530,30,0,0,0,0,0,15,15,440,170,0,0,0,Not in labor force
70,11,21,2,1,255,2005,34,480,65,20,65,85,0,0,0,60,10,0,0,0,0,Employed
71,13,71,1,0,0,2005,0,540,0,0,0,0,0,0,30,60,388,328,0,0,0,Not in labor force
72,13,40,2,3,220,2005,20,570,15,0,30,207,0,0,0,30,160,60,0,0,0,Employed
73,10,61,2,0,109,2005,12,637,15,0,42,0,0,0,135,30,10,0,0,0,0,Employed
74,13,41,2,2,0,2005,72,495,30,120,0,0,0,0,2,90,0,0,0,0,0,Employed
75,19,32,2,1,1108,2005,45,372,75,0,15,228,55,0,0,15,0,0,0,0,0,Employed
76,17,35,1,2,2351,2005,60,530,50,0,45,200,140,0,90,90,50,0,0,0,165,Employed
77,19,78,1,0,0,2005,0,515,30,5,75,0,0,0,0,90,490,100,0,0,0,Not in labor force
78,13,58,2,0,627,2005,40,450,118,0,0,0,0,0,0,61,284,60,0,0,0,Employed
79,13,45,2,0,0,2005,40,630,90,90,0,0,0,0,0,30,567,223,0,0,0,Employed
80,19,27,2,0,0,2005,0,394,90,0,55,0,0,0,295,30,359,329,0,0,0,Not in labor force
81,19,68,1,0,0,2005,0,480,0,0,0,0,0,0,0,105,855,135,0,0,0,Not in labor force
82,19,44,1,2,923,2005,40,592,30,0,30,30,0,0,30,120,50,0,0,0,0,Employed
83,12,42,1,2,2885,2005,45,450,25,0,0,0,0,0,0,50,88,88,0,0,0,Employed
84,13,74,2,0,0,2005,0,480,50,0,90,0,0,0,145,54,535,240,0,0,0,Not in labor force
85,13,62,2,0,500,2005,40,760,70,7,25,0,0,0,0,40,386,0,0,0,0,Employed
86,19,80,1,0,0,2005,30,610,0,0,120,0,0,0,0,30,640,120,0,0,0,Employed
87,13,75,2,0,0,2005,0,560,65,90,0,0,0,0,30,85,505,210,0,0,0,Not in labor force
88,13,27,2,0,600,2005,38,524,75,0,30,0,0,0,10,90,155,60,0,0,0,Employed
89,14,32,2,2,252,2005,35,430,45,10,0,160,0,0,0,151,392,0,0,0,0,Employed
90,13,38,1,1,650,2005,42,450,0,0,60,390,300,0,0,30,270,120,0,0,0,Employed
91,13,20,1,1,0,2005,0,854,30,0,0,0,0,0,2,0,535,0,0,0,0,Unemployed
92,13,40,2,0,0,2005,0,300,0,0,30,0,0,0,0,0,30,0,0,0,0,Employed
93,16,57,1,1,0,2005,0,475,0,90,55,20,0,180,42,50,230,140,0,0,0,Unemployed
94,16,63,1,2,0,2005,10,480,20,0,60,0,0,0,0,110,120,0,0,30,60,Employed
95,13,42,2,0,0,2005,0,495,100,330,0,0,0,180,120,0,30,30,0,0,0,Unemployed
96,13,69,2,0,497,2005,40,240,80,60,50,0,0,0,35,0,185,0,0,0,0,Employed
97,16,41,2,0,825,2005,52,420,40,15,35,0,0,0,95,50,320,135,0,0,0,Employed
98,19,29,2,3,28,2005,2,480,0,35,255,190,40,0,175,60,35,0,0,0,0,Employed
99,18,38,1,0,780,2005,99,635,30,0,30,0,0,0,0,30,180,120,0,0,0,Employed
100,13,42,2,0,363,2005,32,537,65,0,60,0,0,0,0,20,250,240,0,0,0,Employed
101,13,66,1,0,308,2005,0,448,30,20,0,0,0,0,240,125,245,245,0,0,0,Employed
102,18,41,2,1,2885,2005,56,464,60,0,45,136,80,0,0,20,100,100,0,0,0,Employed
103,13,72,1,0,192,2005,20,720,0,0,0,0,0,0,90,150,360,350,0,0,0,Employed
104,13,28,2,4,250,2005,15,540,35,189,5,7,0,0,1,20,216,30,0,0,0,Employed
105,10,17,2,1,0,2005,0,660,40,0,0,0,0,0,0,65,120,120,0,0,425,Not in labor force
106,13,80,2,1,0,2005,0,415,60,30,150,0,0,0,0,30,690,450,0,0,0,Not in labor force
107,19,39,1,1,1200,2005,40,435,25,0,65,10,0,0,5,85,165,150,0,0,0,Employed
108,15,38,2,2,0,2005,0,570,45,0,45,90,0,0,60,90,60,0,0,0,60,Not in labor force
109,17,32,2,2,0,2005,0,450,15,35,110,430,195,0,15,45,205,145,0,0,65,Not in labor force
110,15,49,2,1,168,2005,18,480,40,0,30,10,0,0,0,130,120,30,0,0,0,Employed
111,9,16,2,2,60,2005,30,540,60,0,0,0,0,0,0,130,175,155,0,0,0,Employed
112,15,50,1,0,0,2005,0,300,30,5,0,0,0,0,0,5,530,165,0,0,0,Not in labor force
113,13,54,1,2,0,2005,45,525,30,0,120,60,0,0,15,60,73,0,0,0,0,Employed
114,13,64,1,1,780,2005,40,480,0,0,0,0,0,0,350,105,250,250,0,0,0,Employed
115,16,75,2,0,0,2005,12,540,60,225,60,0,0,0,10,20,300,95,0,0,0,Employed
116,13,76,2,0,0,2005,0,360,60,330,0,0,0,0,90,60,480,60,0,0,0,Not in labor force
117,14,30,1,1,966,2005,42,180,50,0,60,0,0,0,0,45,60,0,0,0,0,Employed
118,13,20,1,1,120,2005,4,485,30,0,0,0,0,0,0,30,540,120,0,0,0,Employed
119,18,55,1,1,1404,2005,40,420,0,0,0,0,0,0,0,60,210,30,0,0,0,Employed
120,19,42,2,2,0,2005,0,565,75,0,30,45,0,0,0,0,540,420,0,0,0,Not in labor force
121,19,45,1,0,0,2005,26,570,0,0,300,0,0,0,0,60,390,300,0,0,0,Employed
122,10,17,2,3,0,2005,0,525,60,0,0,0,0,0,60,90,645,210,0,0,0,Not in labor force
123,13,31,2,3,385,2005,35,510,40,120,75,60,0,0,30,10,55,55,0,0,0,Employed
124,19,80,2,0,0,2005,0,550,0,0,0,0,0,0,0,70,300,90,0,0,0,Not in labor force
125,15,57,2,1,0,2005,15,450,15,475,130,0,0,0,0,80,45,15,0,0,0,Employed
126,14,37,2,2,577,2005,40,570,0,450,60,60,0,0,0,30,90,90,0,0,0,Employed
127,13,49,2,1,760,2005,40,360,75,45,45,0,0,0,17,60,132,15,0,0,0,Employed
128,13,34,1,3,620,2005,40,300,60,0,0,0,0,0,0,0,452,257,0,0,0,Employed
129,19,67,2,0,43,2005,5,510,75,0,25,0,0,0,138,90,140,0,0,0,0,Employed
130,15,30,2,0,1923,2005,40,660,20,300,60,0,0,0,0,60,340,0,0,0,0,Employed
131,14,49,1,2,1442,2005,45,490,15,0,0,0,0,0,30,62,345,102,0,0,0,Employed
132,12,54,2,1,40,2005,40,525,90,165,85,5,0,0,0,50,320,150,0,0,0,Employed
133,14,34,2,0,692,2005,50,770,0,180,0,0,0,0,30,40,175,175,0,0,0,Employed
134,14,26,2,1,1320,2005,30,555,45,0,65,285,175,0,0,40,420,85,0,0,0,Employed
135,16,47,1,2,1731,2005,50,405,42,7,0,66,0,0,10,35,159,114,0,0,0,Employed
136,15,35,2,2,475,2005,40,515,45,115,40,33,0,0,35,60,40,40,0,0,0,Employed
137,14,44,2,1,325,2005,40,1065,20,20,0,0,0,0,50,20,220,40,0,0,0,Employed
138,13,72,2,0,0,2005,0,390,60,45,5,0,0,0,105,265,330,210,0,0,0,Not in labor force
139,14,44,2,0,0,2005,20,665,0,0,210,0,0,0,120,75,75,75,0,0,0,Employed
140,13,49,1,1,560,2005,80,390,30,0,0,0,0,0,0,30,90,90,0,0,0,Employed
141,13,35,2,0,1333,2005,40,435,75,240,0,0,0,0,0,70,50,20,0,0,0,Employed
142,13,59,2,0,0,2005,0,805,30,120,65,0,0,0,0,60,180,0,0,0,0,Not in labor force
143,13,55,1,0,1000,2005,42,420,30,0,0,0,0,0,0,130,200,200,0,0,0,Employed
144,19,39,2,1,350,2005,40,510,60,60,30,0,0,0,0,50,190,190,0,0,0,Employed
145,19,37,2,1,0,2005,0,495,0,285,125,0,0,0,90,90,260,190,0,0,0,Not in labor force
146,15,49,1,1,1262,2005,50,690,0,0,0,0,0,0,30,195,150,150,0,0,0,Employed
147,15,46,2,2,738,2005,50,505,35,90,17,10,0,0,0,115,200,125,0,0,0,Employed
148,13,80,2,0,0,2005,0,480,90,0,90,0,0,0,205,75,395,190,0,0,0,Not in labor force
149,13,25,2,3,0,2005,0,640,90,0,0,45,0,0,0,110,480,0,0,0,0,Not in labor force
150,13,22,2,1,0,2005,0,660,45,60,60,60,0,0,0,60,425,365,0,0,0,Not in labor force
151,13,63,2,2,0,2005,0,480,60,0,0,0,0,0,0,210,680,0,0,0,0,Not in labor force
152,19,35,2,3,0,2005,40,395,0,0,0,0,0,0,0,45,385,0,0,0,0,Employed
153,15,78,2,0,0,2005,0,570,25,0,0,0,0,0,0,105,725,430,0,0,0,Not in labor force
154,19,27,2,1,300,2005,30,678,60,0,0,60,0,0,210,45,120,120,0,0,0,Employed
155,19,38,2,2,962,2005,40,690,15,45,55,0,0,0,0,75,145,145,325,0,0,Employed
156,19,64,2,0,0,2005,50,425,55,0,0,0,0,0,0,75,135,110,0,0,30,Employed
157,19,70,2,0,0,2005,0,690,80,90,0,0,0,0,0,105,75,50,0,0,0,Not in labor force
158,14,54,2,1,1400,2005,64,370,40,15,30,0,0,0,0,70,105,60,0,0,0,Employed
159,19,36,2,1,0,2005,0,464,75,106,105,141,0,0,0,66,182,180,0,0,0,Not in labor force
160,19,40,1,3,1250,2005,45,370,20,0,80,165,55,0,30,95,0,0,0,0,0,Employed
161,9,28,1,1,500,2005,55,530,40,0,0,52,22,0,5,45,225,30,0,0,90,Employed
162,16,29,1,1,1058,2005,50,375,45,120,30,120,0,0,60,90,390,60,0,0,0,Employed
163,15,43,1,4,2000,2005,60,547,65,0,20,100,0,0,30,15,480,120,0,0,0,Employed
164,19,65,1,0,0,2005,35,510,20,0,0,0,0,0,0,30,570,150,0,0,0,Employed
165,13,48,1,3,1100,2005,60,295,15,0,0,0,0,0,60,90,135,60,0,0,0,Employed
166,13,45,2,1,0,2005,0,480,0,270,90,60,0,0,0,30,220,220,0,0,0,Not in labor force
167,16,35,1,2,1600,2005,40,835,40,0,0,110,0,0,0,60,30,30,0,0,0,Employed
168,15,29,2,0,0,2005,0,690,135,30,30,0,0,0,10,15,280,280,0,0,0,Unemployed
169,19,49,1,1,0,2005,60,519,15,0,16,60,0,0,2,48,170,140,0,0,0,Employed
170,9,16,2,1,0,2005,0,860,5,0,0,0,0,0,0,120,315,0,0,0,120,Not in labor force
171,19,49,2,1,0,2005,20,385,43,0,45,15,0,0,45,35,255,0,0,0,90,Employed
172,15,54,1,0,1962,2005,60,420,0,0,0,0,0,0,60,300,240,180,0,0,0,Employed
173,13,47,1,0,300,2005,48,720,40,120,0,0,0,0,0,0,458,418,0,0,0,Employed
174,11,32,2,3,0,2005,20,500,0,90,120,75,0,0,0,45,285,165,0,0,0,Employed
175,13,27,2,2,969,2005,60,500,75,10,0,10,0,0,160,10,192,72,0,0,0,Employed
176,19,32,2,2,0,2005,50,440,20,120,30,0,0,0,20,130,70,10,0,0,0,Employed
177,15,75,1,0,0,2005,0,660,0,0,0,0,0,0,0,30,360,30,0,0,0,Not in labor force
178,15,32,2,3,577,2005,0,585,35,0,90,20,0,0,20,105,255,195,0,0,0,Employed
179,14,40,1,2,692,2005,45,495,45,0,0,0,0,0,0,60,225,180,0,0,0,Employed
180,14,33,2,1,885,2005,43,480,20,0,0,0,0,0,0,150,30,0,0,0,0,Employed
181,19,61,1,0,0,2005,0,540,30,0,40,0,0,0,0,110,180,75,0,0,0,Not in labor force
182,13,34,2,2,575,2005,40,600,45,0,60,0,0,0,0,20,80,80,0,0,0,Employed
183,11,23,2,1,314,2005,36,785,150,0,0,5,0,0,0,65,240,120,0,0,0,Employed
184,16,43,2,2,0,2005,20,500,40,35,50,105,0,0,60,240,230,115,0,0,0,Employed
185,16,64,1,0,962,2005,50,710,35,0,45,0,0,0,0,105,300,200,0,0,90,Employed
186,15,35,2,4,1385,2005,48,573,60,105,70,25,0,0,65,45,160,140,0,0,0,Employed
187,11,18,1,1,140,2005,40,588,60,0,0,0,0,0,0,75,330,120,0,0,68,Employed
188,16,48,1,0,1788,2005,56,410,60,0,0,0,0,0,0,60,60,30,0,0,0,Employed
189,14,27,2,2,0,2005,0,455,40,245,75,180,45,0,90,20,200,45,0,0,0,Not in labor force
190,10,17,1,5,50,2005,30,600,0,0,0,0,0,0,0,10,130,0,0,0,0,Employed
191,16,59,1,1,0,2005,30,500,20,0,0,0,0,0,60,215,100,90,0,0,0,Employed
192,13,32,1,1,520,2005,45,431,45,10,0,95,20,0,0,40,40,0,0,0,0,Employed
193,13,47,2,0,0,2005,0,660,3,0,10,0,0,0,40,150,430,310,0,0,0,Not in labor force
194,15,55,2,2,0,2005,0,440,0,330,20,45,0,0,3,110,322,147,0,0,0,Not in labor force
195,13,20,2,1,0,2005,0,465,150,150,0,0,0,0,0,15,490,240,0,0,0,Not in labor force
196,13,50,2,0,1538,2005,60,390,45,60,50,0,0,0,0,0,130,40,0,0,0,Employed
197,15,29,2,2,340,2005,40,420,30,20,35,90,0,0,65,30,365,270,0,0,333,Employed
198,19,64,2,0,288,2005,7,495,65,20,35,0,0,0,5,110,258,258,0,0,0,Employed
199,19,53,1,0,650,2005,40,335,130,0,90,0,0,0,120,45,345,60,0,0,0,Employed
200,14,31,2,2,0,2005,0,651,25,24,150,293,120,0,0,30,90,80,0,0,0,Not in labor force
201,13,42,1,0,962,2005,60,510,30,0,0,0,0,0,0,0,295,120,0,0,0,Employed
202,15,40,2,3,263,2005,15,540,15,0,30,83,83,0,2,90,300,0,0,0,0,Employed
203,15,30,2,1,0,2005,0,420,60,20,20,260,140,0,5,105,60,0,0,0,0,Not in labor force
204,16,43,2,3,1731,2005,45,525,30,10,15,60,0,0,25,90,45,30,0,0,0,Employed
205,16,26,1,0,865,2005,50,700,60,0,0,0,0,0,60,140,30,0,0,0,0,Employed
206,15,37,2,0,225,2005,32,719,0,0,30,0,0,0,0,0,330,150,0,0,0,Employed
207,10,18,2,1,0,2005,0,600,0,60,0,0,0,0,0,60,0,0,0,0,0,Not in labor force
208,19,74,2,0,0,2005,0,430,90,0,0,0,0,0,10,15,30,0,0,0,0,Not in labor force
209,13,56,2,0,600,2005,40,600,45,240,80,0,0,0,60,55,199,139,0,0,0,Employed
210,19,85,2,0,0,2005,0,360,120,0,15,0,0,0,30,80,325,120,0,0,120,Not in labor force
211,13,63,1,2,0,2005,0,510,0,0,45,0,0,0,0,15,310,310,0,0,0,Not in labor force
212,15,49,1,1,1357,2005,40,630,0,0,20,0,0,0,0,180,280,150,0,0,0,Employed
213,19,65,1,0,0,2005,0,540,80,0,0,0,0,0,0,75,325,0,0,0,0,Not in labor force
214,16,46,2,2,0,2005,0,450,49,0,0,1,0,0,5,30,210,0,0,0,0,Not in labor force
215,10,17,2,1,300,2005,35,390,90,70,25,0,0,0,0,0,729,238,0,0,0,Employed
216,13,43,2,0,923,2005,50,420,85,0,0,0,0,0,0,190,0,0,0,0,0,Employed
217,9,16,1,1,0,2005,0,810,30,0,0,0,0,0,0,105,435,345,0,0,0,Not in labor force
218,13,63,2,0,160,2005,21,600,0,180,85,0,0,0,0,25,550,100,0,0,0,Employed
219,15,48,1,1,577,2005,0,808,15,0,0,0,0,0,20,30,250,105,0,0,50,Employed
220,13,34,1,2,874,2005,48,390,0,115,30,695,120,0,0,0,90,90,0,0,0,Employed
221,16,36,1,2,1038,2005,50,465,30,0,70,25,0,0,0,40,155,155,0,0,0,Employed
222,14,66,2,0,0,2005,0,540,30,120,0,0,0,0,0,90,528,160,0,0,0,Not in labor force
223,16,39,1,1,1115,2005,40,542,45,0,0,240,210,0,1,70,0,0,0,0,0,Employed
224,16,34,2,2,0,2005,20,480,50,0,40,45,0,0,0,70,90,30,0,0,0,Employed
225,14,36,1,3,605,2005,43,480,45,0,30,0,0,0,5,80,298,78,0,0,0,Employed
226,14,40,2,0,338,2005,40,720,90,255,0,0,0,0,0,15,360,360,0,0,0,Employed
227,13,31,2,2,903,2005,45,330,60,120,45,0,0,0,35,30,130,0,0,0,0,Employed
228,15,32,1,0,1346,2005,42,370,45,30,15,0,0,0,60,135,365,30,0,45,0,Employed
229,18,35,1,2,1365,2005,55,450,30,0,0,99,40,0,33,180,370,180,0,0,0,Employed
230,13,44,1,0,820,2005,40,400,35,0,35,0,0,0,0,50,335,215,0,0,0,Employed
231,19,19,2,0,176,2005,25,555,90,0,0,0,0,0,0,40,365,140,0,0,0,Employed
232,15,51,1,2,1058,2005,50,420,15,0,0,30,30,0,10,45,180,90,0,0,0,Employed
233,19,45,2,2,130,2005,18,450,40,5,110,60,0,0,0,70,300,120,0,0,0,Employed
234,13,46,1,2,1231,2005,42,535,0,15,45,202,0,0,20,40,225,150,0,0,0,Employed
235,19,65,2,0,0,2005,55,420,60,0,0,0,0,0,0,0,90,0,0,0,0,Employed
236,9,16,1,2,0,2005,0,600,0,0,0,0,0,0,0,0,300,300,0,0,0,Not in labor force
237,15,55,2,0,0,2005,99,480,0,10,30,0,0,0,30,90,210,0,0,0,0,Employed
238,15,75,2,0,0,2005,0,540,0,0,75,0,0,0,0,35,595,295,0,0,0,Not in labor force
239,13,24,1,2,360,2005,85,300,45,0,0,0,0,66,102,80,100,0,0,0,90,Employed
240,9,30,2,3,203,2005,40,720,0,0,0,5,0,0,0,15,630,260,0,0,0,Employed
241,16,62,2,0,0,2005,0,565,52,15,35,0,0,0,178,50,260,0,0,0,0,Not in labor force
242,13,35,2,2,0,2005,0,450,30,10,0,20,0,0,10,110,226,90,0,0,45,Not in labor force
243,13,50,1,0,480,2005,45,710,30,0,0,0,0,0,60,60,345,300,0,0,0,Employed
244,15,34,1,2,1923,2005,50,450,0,0,0,345,285,0,15,45,120,120,0,0,0,Employed
245,10,17,1,2,184,2005,40,510,0,0,0,0,0,0,0,60,355,20,0,0,15,Employed
246,10,57,1,0,415,2005,60,390,0,0,0,0,0,0,0,90,45,0,0,0,0,Employed
247,13,51,2,0,0,2005,0,615,90,205,135,0,0,0,0,65,210,90,0,0,0,Not in labor force
248,13,28,2,2,384,2005,32,822,80,0,60,130,0,0,15,45,110,110,0,0,0,Employed
249,19,46,2,0,350,2005,0,285,20,60,12,0,0,0,40,80,205,135,0,0,0,Employed
250,19,40,1,0,800,2005,50,300,45,0,0,0,0,0,0,25,225,225,0,0,0,Employed
251,13,80,1,0,0,2005,0,595,20,0,0,0,0,0,0,60,765,375,0,0,0,Not in labor force
252,15,35,1,0,310,2005,34,470,20,0,0,0,0,0,0,305,310,250,0,0,0,Employed
253,13,48,2,0,0,2005,0,660,30,125,50,0,0,0,0,90,425,425,0,0,0,Not in labor force
254,19,70,2,0,0,2005,0,510,35,120,0,0,0,0,0,90,180,0,0,0,0,Not in labor force
255,14,26,1,1,0,2005,0,1080,0,0,0,0,0,0,0,120,240,240,0,0,0,Not in labor force
256,10,28,2,2,120,2005,15,690,103,30,60,105,0,0,0,30,207,207,0,0,0,Employed
257,13,43,2,0,613,2005,50,376,60,0,62,0,0,0,5,87,135,30,0,0,0,Employed
258,12,21,2,0,168,2005,40,401,30,0,0,0,0,0,0,30,375,0,0,0,0,Employed
259,13,44,1,0,0,2005,0,779,1,0,25,0,0,0,0,10,565,535,0,0,0,Not in labor force
260,11,68,1,0,0,2005,0,330,0,0,90,0,0,0,0,80,895,685,0,0,0,Not in labor force
261,19,43,2,0,0,2005,0,495,60,0,0,0,0,0,0,195,295,25,0,0,0,Not in labor force
262,15,45,1,0,300,2005,35,465,65,10,20,0,0,0,10,100,262,262,0,0,0,Employed
263,15,42,1,1,2500,2005,55,450,0,30,0,180,120,0,0,45,585,345,0,0,0,Employed
264,16,85,2,0,0,2005,0,570,65,25,55,0,0,0,0,160,399,180,0,0,0,Not in labor force
265,19,39,2,2,318,2005,30,590,0,135,120,40,0,0,210,15,270,240,0,0,0,Employed
266,18,63,2,0,0,2005,0,545,100,0,30,0,0,0,95,156,40,0,0,0,180,Not in labor force
267,10,18,1,1,0,2005,0,465,35,0,30,0,0,0,0,61,308,248,0,0,0,Not in labor force
268,13,55,2,0,624,2005,40,450,45,45,15,0,0,0,10,35,180,65,0,0,0,Employed
269,19,25,1,0,0,2005,0,600,30,0,0,0,0,0,5,30,390,390,0,0,0,Not in labor force
270,13,44,2,2,0,2005,0,558,70,180,120,5,0,0,5,30,400,210,0,0,0,Not in labor force
271,15,37,1,1,800,2005,40,375,25,40,5,60,0,0,30,45,230,130,0,0,0,Employed
272,15,32,1,0,1030,2005,50,410,75,0,0,0,0,0,5,70,55,45,0,0,0,Employed
273,19,45,1,0,600,2005,40,335,70,0,30,0,0,0,0,110,210,60,0,0,0,Employed
